2nd_flr_pres,age_sold,alley_grvl,bedroom_abvgr,big_house,bldg_type,bsmt_cond,bsmt_exposure,bsmt_full_bath,bsmt_qual,bsmt_unf_sf,bsmtfin_type_1,central_air,condition,electrical,enclosed_porch,exter_qual,exterior_1st,exterior_2nd,fence,fireplace_qu,fireplaces,foundation,full_bath,functional,garage_area,garage_finish,garage_qual,garage_type,gr_liv_area,half_bath,heating,heating_qc,house_style,id,kitchen_abvgr,kitchen_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,mas_vnr_area,mas_vnr_type,ms_subclass,ms_zoning,neighborhood,open_porch_sf,overall_cond,overall_qual,paved_drive,pool_pres,roof_style,sale_type,saleprice,screen_porch,total_bsmt_sf,wood_deck_sf
1,34.0,0,3,0.0,1Fam,3,0,0.0,3,192.0,6,Y,RRe,0.0,0,3,HdBoard,Plywood,0,0,0,CBlock,2,0,475.0,2,3,Attchd,1479,1,GasA,4,2Story,109,1,3,Lvl,flat,13517,CulDSac,72.77464788732394,IR1,289.0,BrkFace,60,RL,Sawyer,44,8,6,2,0,Gable,WD ,130500,0,725.0,0
1,13.0,0,4,0.0,1Fam,3,0,1.0,4,276.0,6,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,3,1,PConc,2,0,559.0,2,3,Attchd,2122,1,GasA,4,2Story,544,1,3,Lvl,flat,11492,CulDSac,43.0,IR1,132.0,BrkFace,60,RL,SawyerW,74,5,7,2,0,Gable,WD ,220000,0,913.0,0
0,57.0,0,3,0.0,1Fam,3,0,1.0,3,326.0,6,Y,Norm,0.0,0,2,VinylSd,VinylSd,0,0,0,CBlock,1,0,246.0,1,3,Detchd,1057,0,GasA,2,1Story,153,1,3,Lvl,flat,7922,Inside,68.0,Reg,0.0,None,20,RL,NAmes,52,7,5,2,0,Gable,WD ,109000,0,1057.0,0
1,4.0,0,3,0.0,1Fam,3,0,0.0,4,384.0,1,Y,Norm,0.0,0,2,VinylSd,VinylSd,0,0,0,PConc,2,0,400.0,3,3,BuiltIn,1444,1,GasA,3,2Story,318,1,2,Lvl,flat,9802,Inside,73.0,Reg,0.0,None,60,RL,Timber,0,5,5,2,0,Gable,WD ,174000,0,384.0,100
1,110.0,0,3,0.0,1Fam,4,0,0.0,2,676.0,1,Y,Norm,0.0,0,2,Wd Sdng,Plywood,0,0,0,PConc,2,0,484.0,1,3,Detchd,1445,0,GasA,2,1.5Fin,255,1,2,Lvl,flat,14235,Inside,82.0,IR1,0.0,None,50,RL,SawyerW,59,8,6,0,0,Gable,WD ,138500,0,676.0,0
0,44.0,0,2,0.0,1Fam,3,0,0.0,3,557.0,5,Y,Pos,0.0,0,3,BrkFace,Plywood,0,4,1,CBlock,2,3,578.0,3,3,Attchd,1888,1,GasA,4,1Story,138,1,3,Lvl,flat,16492,Corner,137.0,IR1,0.0,None,20,RL,NAmes,0,6,6,2,0,Gable,WD ,190000,0,1517.0,0
0,1.0,0,2,0.0,TwnhsE,3,3,1.0,4,0.0,6,Y,Norm,0.0,0,2,VinylSd,VinylSd,0,0,0,PConc,2,0,525.0,3,3,Basment,1072,0,GasA,3,SFoyer,2827,1,2,Lvl,flat,3675,Inside,35.0,Reg,82.0,BrkFace,180,RM,Edwards,44,5,6,2,0,Gable,New,140000,0,547.0,0
0,51.0,0,3,0.0,1Fam,3,0,1.0,3,188.0,3,Y,Norm,0.0,0,2,Plywood,Plywood,1,0,0,CBlock,1,0,531.0,2,3,Attchd,1188,0,GasA,1,1Story,145,1,2,Lvl,flat,12160,Inside,75.19245283018869,IR1,180.0,BrkFace,20,RL,NAmes,0,5,5,2,0,Hip,COD,142000,0,1188.0,0
0,55.0,0,2,0.0,1Fam,3,0,0.0,3,632.0,3,Y,Artery,0.0,0,2,Wd Sdng,Wd Sdng,1,0,0,CBlock,1,0,420.0,1,3,Detchd,924,0,GasA,2,1Story,1942,1,2,Lvl,flat,15783,Inside,62.802547770700635,Reg,0.0,None,20,RL,OldTown,324,5,5,2,0,Gable,WD ,112500,0,924.0,0
1,38.0,0,5,0.0,1Fam,3,2,0.0,4,390.0,3,Y,Norm,0.0,0,2,Plywood,Plywood,0,3,2,PConc,1,0,504.0,1,3,Attchd,2080,2,GasA,2,2Story,1956,1,1,HLS,sloped,11606,Inside,70.0,IR1,192.0,BrkFace,60,RL,NAmes,0,5,5,2,0,Gable,WD ,135000,0,1040.0,335
1,37.0,0,2,0.0,Twnhs,3,0,0.0,3,96.0,5,Y,Norm,0.0,0,2,HdBoard,HdBoard,0,0,0,CBlock,1,0,264.0,1,3,Detchd,987,1,GasA,2,2Story,1044,1,2,Lvl,flat,1680,Inside,21.0,Reg,232.0,BrkFace,160,RM,BrDale,0,5,6,2,0,Gable,COD,85400,0,483.0,0
0,1.0,0,2,0.0,1Fam,3,2,0.0,4,815.0,6,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,0,0,PConc,2,0,632.0,2,3,Attchd,1208,0,GasA,4,1Story,2752,1,3,Lvl,flat,7488,Inside,64.0,IR1,0.0,None,20,RL,CollgCr,58,5,7,2,0,Gable,WD ,183600,0,1208.0,105
1,129.0,0,4,0.0,1Fam,0,0,0.0,0,0.0,0,Y,Feedr,0.0,0,3,HdBoard,HdBoard,0,3,1,PConc,1,3,576.0,1,3,Attchd,2016,0,GasA,4,2Story,807,1,2,Bnk,flat,26400,FR2,120.0,Reg,0.0,None,70,RL,SawyerW,0,7,5,1,0,Gable,WD ,131000,0,0.0,0
1,9.0,0,3,0.0,Twnhs,3,0,1.0,4,147.0,6,Y,Norm,0.0,0,3,MetalSd,MetalSd,0,0,0,PConc,2,0,480.0,1,3,Detchd,1607,1,GasA,4,2Story,1177,1,3,Lvl,flat,2645,Inside,24.0,Reg,456.0,BrkFace,160,FV,Somerst,0,5,8,2,0,Gable,ConLD,200000,0,960.0,169
0,1.0,0,3,0.0,1Fam,3,2,0.0,4,1327.0,6,Y,Norm,0.0,0,3,VinylSd,VinylSd,0,0,0,PConc,2,0,610.0,2,3,Attchd,1361,0,GasA,4,1Story,1480,1,3,Lvl,flat,9627,Inside,74.0,Reg,0.0,None,20,RL,CollgCr,50,5,7,2,0,Gable,WD ,193000,0,1351.0,0
0,6.0,0,3,0.0,1Fam,3,2,0.0,5,1430.0,1,Y,Norm,0.0,0,2,VinylSd,VinylSd,0,0,0,PConc,2,0,624.0,2,3,Attchd,1430,0,GasA,4,1Story,324,1,3,Lvl,flat,10114,Inside,93.0,Reg,0.0,None,20,RL,Mitchel,0,5,5,2,0,Gable,WD ,173500,0,1430.0,0
1,92.0,1,4,0.0,1Fam,3,0,0.0,3,624.0,1,N,Norm,0.0,96,2,AsbShng,AsbShng,0,0,0,BrkTil,1,0,513.0,1,2,Detchd,1344,0,GasA,1,2Story,1311,1,2,Lvl,flat,4571,Inside,34.0,Reg,0.0,None,70,RM,OldTown,0,5,5,2,0,Gable,COD,98000,0,624.0,0
